cod_mpio,cod_dpto,nom_mpio,n_sedes,n_sedes_ese
15425,15,MACANAL,3,1
15442,15,MARIPÍ,3,3
15455,15,MIRAFLORES,16,1
15464,15,MONGUA,1,1
15466,15,MONGUÍ,1,1
15469,15,MONIQUIRÁ,26,2
15476,15,MOTAVITA,1,1
15480,15,MUZO,3,1
15491,15,NOBSA,7,2
15494,15,NUEVO COLÓN,2,1
15500,15,OICATÁ,3,1
15507,15,OTANCHE,2,1
15511,15,PACHAVITA,1,1
15514,15,PÁEZ,1,1
15516,15,PAIPA,58,2
15518,15,PAJARITO,1,1
15522,15,PANQUEBA,1,1
15531,15,PAUNA,3,1
15533,15,PAYA,2,2
15537,15,PAZ DE RÍO,2,1
15542,15,PESCA,1,1
15550,15,PISBA,1,1
15572,15,PUERTO BOYACÁ,38,3
15580,15,QUÍPAMA,2,2
15599,15,RAMIRIQUÍ,13,1
15600,15,RÁQUIRA,5,1
15621,15,RONDÓN,1,1
15632,15,SABOYÁ,1,1
15638,15,SÁCHICA,4,1
15646,15,SAMACÁ,22,2
15660,15,SAN EDUARDO,1,1
15664,15,SAN JOSÉ DE PARE,2,1
15667,15,SAN LUIS DE GACENO,5,1
15673,15,SAN MATEO,1,1
15676,15,SAN MIGUEL DE SEMA,3,1
15681,15,SAN PABLO DE BORBUR,1,1
15686,15,SANTANA,3,1
15690,15,SANTA MARÍA,4,1
15693,15,SANTA ROSA DE VITERBO,11,1
15696,15,SANTA SOFÍA,1,1
15720,15,SATIVANORTE,2,1
15723,15,SATIVASUR,1,1
15740,15,SIACHOQUE,4,1
15753,15,SOATÁ,17,1
15755,15,SOCOTÁ,2,1
15757,15,SOCHA,6,1
15759,15,SOGAMOSO,309,4
15761,15,SOMONDOCO,1,1
15762,15,SORA,1,1
15763,15,SOTAQUIRÁ,2,2
15764,15,SORACÁ,1,1
15774,15,SUSACÓN,1,1
15776,15,SUTAMARCHÁN,5,1
15778,15,SUTATENZA,1,1
15790,15,TASCO,2,1
15798,15,TENZA,2,1
15804,15,TIBANÁ,4,1
15806,15,TIBASOSA,3,1
15808,15,TINJACÁ,2,1
15810,15,TIPACOQUE,2,1
15814,15,TOCA,3,1
15816,15,TOGÜÍ,2,1
15820,15,TÓPAGA,1,1
15822,15,TOTA,1,1
15832,15,TUNUNGUÁ,1,1
15835,15,TURMEQUÉ,4,1
15837,15,TUTA,4,1
15839,15,TUTAZÁ,2,2
15842,15,ÚMBITA,2,2
15861,15,VENTAQUEMADA,10,3
15879,15,VIRACACHÁ,1,1
15897,15,ZETAQUIRA,2,1
17001,17,MANIZALES,1168,19
17013,17,AGUADAS,46,2
17042,17,ANSERMA,43,1
17050,17,ARANZAZU,8,1
17088,17,BELALCÁZAR,8,1
17174,17,CHINCHINÁ,51,1
17272,17,FILADELFIA,11,2
17380,17,LA DORADA,126,8
17388,17,LA MERCED,3,1
17433,17,MANZANARES,33,1
17442,17,MARMATO,5,1
17444,17,MARQUETALIA,13,1
17446,17,MARULANDA,2,2
17486,17,NEIRA,23,1
17495,17,NORCASIA,3,1
17513,17,PÁCORA,17,2
17524,17,PALESTINA,5,2
17541,17,PENSILVANIA,18,5
17614,17,RIOSUCIO,53,3
17616,17,RISARALDA,8,1
17653,17,SALAMINA,16,2
17662,17,SAMANÁ,14,3
17665,17,SAN JOSÉ,1,1
17777,17,SUPÍA,30,1
17867,17,VICTORIA,8,1
17873,17,VILLAMARÍA,42,1
17877,17,VITERBO,18,1
18001,18,FLORENCIA,221,3
18029,18,ALBANIA,2,1
18094,18,BELÉN DE LOS ANDAQUÍES,2,1
18150,18,CARTAGENA DEL CHAIRÁ,15,3
18205,18,CURILLO,2,1
18247,18,EL DONCELLO,13,2
18256,18,EL PAUJÍL,6,1
18410,18,LA MONTAÑITA,2,2
18460,18,MILÁN,2,2
18479,18,MORELIA,1,1
18592,18,PUERTO RICO,11,3
18610,18,SAN JOSÉ DEL FRAGUA,4,2
18753,18,SAN VICENTE DEL CAGUÁN,24,1
18756,18,SOLANO,2,1
18785,18,SOLITA,2,1
18860,18,VALPARAÍSO,2,1
19001,19,POPAYÁN,658,13
19022,19,ALMAGUER,4,4
19050,19,ARGELIA,2,2
19075,19,BALBOA,4,1
19100,19,BOLÍVAR,12,6
19110,19,BUENOS AIRES,7,4
19130,19,CAJIBÍO,7,4
19137,19,CALDONO,5,3
19142,19,CALOTO,7,1
19212,19,CORINTO,16,1
19256,19,EL TAMBO,19,10
19290,19,FLORENCIA,1,1
19300,19,GUACHENÉ,6,1
19318,19,GUAPI,12,2
19355,19,INZÁ,5,2
19364,19,JAMBALÓ,2,1
19392,19,LA SIERRA,1,1
19397,19,LA VEGA,6,4
19418,19,LÓPEZ DE MICAY,0,0
19450,19,MERCADERES,9,2
19455,19,MIRANDA,18,1
19473,19,MORALES,6,1
19513,19,PADILLA,1,1
19517,19,PÁEZ,4,2
19532,19,PATÍA,19,1
19533,19,PIAMONTE,3,2
19548,19,PIENDAMÓ - TUNÍA,0,0
19573,19,PUERTO TEJADA,29,1
19585,19,PURACÉ,3,3
19622,19,ROSAS,4,1
19693,19,SAN SEBASTIÁN,5,5
19698,19,SANTANDER DE QUILICHAO,131,7
19701,19,SANTA ROSA,3,3
19743,19,SILVIA,10,1
19760,19,SOTARÁ - PAISPAMBA,0,0
19780,19,SUÁREZ,2,1
19785,19,SUCRE,1,1
19807,19,TIMBÍO,13,3
19809,19,TIMBIQUÍ,13,9
19821,19,TORIBÍO,5,2
19824,19,TOTORÓ,4,2
19845,19,VILLA RICA,5,1
20001,20,VALLEDUPAR,767,32
20011,20,AGUACHICA,155,13
20013,20,AGUSTÍN CODAZZI,34,3
20032,20,ASTREA,8,3
20045,20,BECERRIL,8,3
20060,20,BOSCONIA,23,1
20175,20,CHIMICHAGUA,16,8
20178,20,CHIRIGUANÁ,19,5
20228,20,CURUMANÍ,22,8
20238,20,EL COPEY,11,4
20250,20,EL PASO,20,6
20295,20,GAMARRA,4,4
20310,20,GONZÁLEZ,2,2
20383,20,LA GLORIA,8,4
20400,20,LA JAGUA DE IBIRICO,31,4
20443,20,MANAURE BALCÓN DEL CESAR,0,0
20517,20,PAILITAS,20,4
20550,20,PELAYA,9,3
20570,20,PUEBLO BELLO,7,2
20614,20,RÍO DE ORO,14,5
20621,20,LA PAZ,10,3
20710,20,SAN ALBERTO,25,5
20750,20,SAN DIEGO,14,8
20770,20,SAN MARTÍN,17,7
20787,20,TAMALAMEQUE,11,7
23001,23,MONTERÍA,784,49
23068,23,AYAPEL,9,1
23079,23,BUENAVISTA,6,2
23090,23,CANALETE,3,2
23162,23,CERETÉ,59,11
23168,23,CHIMÁ,3,1
23182,23,CHINÚ,31,6
23189,23,CIÉNAGA DE ORO,26,8
23300,23,COTORRA,4,1
23350,23,LA APARTADA,2,1
23417,23,LORICA,79,13
23419,23,LOS CÓRDOBAS,2,1
23464,23,MOMIL,12,6
23466,23,MONTELÍBANO,63,4
23500,23,MOÑITOS,6,3
23555,23,PLANETA RICA,62,9
23570,23,PUEBLO NUEVO,22,10
23574,23,PUERTO ESCONDIDO,7,2
23580,23,PUERTO LIBERTADOR,15,2
23586,23,PURÍSIMA DE LA CONCEPCIÓN,0,0
23660,23,SAHAGÚN,118,33
23670,23,SAN ANDRÉS DE SOTAVENTO,0,0
23672,23,SAN ANTERO,4,1
23675,23,SAN BERNARDO DEL VIENTO,20,10
23678,23,SAN CARLOS,3,2
23682,23,SAN JOSÉ DE URÉ,1,0
23686,23,SAN PELAYO,21,12
23807,23,TIERRALTA,28,7
23815,23,TUCHÍN,7,0
23855,23,VALENCIA,16,9
25001,25,AGUA DE DIOS,3,2
25019,25,ALBÁN,1,1
25035,25,ANAPOIMA,17,3
25040,25,ANOLAIMA,7,2
25053,25,ARBELÁEZ,6,1
25086,25,BELTRÁN,2,2
25095,25,BITUIMA,1,1
25099,25,BOJACÁ,4,1
25120,25,CABRERA,1,1
25123,25,CACHIPAY,6,2
25126,25,CAJICÁ,385,1
25148,25,CAPARRAPÍ,6,1
25151,25,CÁQUEZA,22,1
25154,25,CARMEN DE CARUPA,3,1
25168,25,CHAGUANÍ,2,1
25175,25,CHÍA,488,1
25178,25,CHIPAQUE,5,1
25181,25,CHOACHÍ,11,1
25183,25,CHOCONTÁ,15,1
25200,25,COGUA,15,1
25214,25,COTA,58,1
25224,25,CUCUNUBÁ,2,1
25245,25,EL COLEGIO,25,4
25258,25,EL PEÑÓN,1,1
25260,25,EL ROSAL,22,1
25269,25,FACATATIVÁ,174,3
25279,25,FÓMEQUE,7,1
25281,25,FOSCA,2,2
25286,25,FUNZA,152,3
25288,25,FÚQUENE,2,2
25290,25,FUSAGASUGÁ,246,10
25293,25,GACHALÁ,1,1
25295,25,GACHANCIPÁ,12,1
25297,25,GACHETÁ,7,1
25299,25,GAMA,1,1
25307,25,GIRARDOT,178,3
25312,25,GRANADA,1,1
25317,25,GUACHETÁ,3,1
25320,25,GUADUAS,20,2
25322,25,GUASCA,33,1
25324,25,GUATAQUÍ,1,1
25326,25,GUATAVITA,11,1
25328,25,GUAYABAL DE SÍQUIMA,1,1
25335,25,GUAYABETAL,1,1
25339,25,GUTIÉRREZ,1,1
25368,25,JERUSALÉN,1,1
25372,25,JUNÍN,3,1
25377,25,LA CALERA,31,1
25386,25,LA MESA,58,4
25394,25,LA PALMA,3,1
25398,25,LA PEÑA,5,1
25402,25,LA VEGA,25,1
25407,25,LENGUAZAQUE,3,1
25426,25,MACHETÁ,7,1
25430,25,MADRID,98,3
25436,25,MANTA,2,1
25438,25,MEDINA,2,1
25473,25,MOSQUERA,197,3
25483,25,NARIÑO,1,1
25486,25,NEMOCÓN,9,1
25488,25,NILO,5,1
25489,25,NIMAIMA,1,1
25491,25,NOCAIMA,4,1
25506,25,VENECIA,1,1
25513,25,PACHO,25,2
25518,25,PAIME,2,2
25524,25,PANDI,1,1
25530,25,PARATEBUENO,4,2
25535,25,PASCA,1,1
25572,25,PUERTO SALGAR,7,3
25580,25,PULÍ,3,3
25592,25,QUEBRADANEGRA,3,3
25594,25,QUETAME,2,2
25596,25,QUIPILE,6,5
25599,25,APULO,3,1
25612,25,RICAURTE,3,1
25645,25,SAN ANTONIO DEL TEQUENDAMA,5,2
25649,25,SAN BERNARDO,1,1
25653,25,SAN CAYETANO,1,1
25658,25,SAN FRANCISCO,7,1
25662,25,SAN JUAN DE RIOSECO,0,0
25718,25,SASAIMA,4,1
25736,25,SESQUILÉ,6,1
25740,25,SIBATÉ,20,2
25743,25,SILVANIA,7,3
25745,25,SIMIJACA,11,1
25754,25,SOACHA,426,13
25758,25,SOPÓ,49,1
25769,25,SUBACHOQUE,18,2
25772,25,SUESCA,9,1
25777,25,SUPATÁ,5,1
25779,25,SUSA,7,1
25781,25,SUTATAUSA,3,1
25785,25,TABIO,18,1
25793,25,TAUSA,2,1
25797,25,TENA,3,2
25799,25,TENJO,24,1
25805,25,TIBACUY,2,2
25807,25,TIBIRITA,1,1
25815,25,TOCAIMA,2,1
25817,25,TOCANCIPÁ,58,0
25823,25,TOPAIPÍ,1,1
25839,25,UBALÁ,4,3
25841,25,UBAQUE,2,1
25843,25,VILLA DE SAN DIEGO DE UBATÉ,103,1
25845,25,UNE,3,1
25851,25,ÚTICA,2,1
25862,25,VERGARA,2,1
25867,25,VIANÍ,3,1
25871,25,VILLAGÓMEZ,1,1
25873,25,VILLAPINZÓN,14,1
25875,25,VILLETA,29,2
25878,25,VIOTÁ,2,1
25885,25,YACOPÍ,2,1
25898,25,ZIPACÓN,2,2
25899,25,ZIPAQUIRÁ,228,2
27001,27,QUIBDÓ,222,33
27006,27,ACANDÍ,5,0
27025,27,ALTO BAUDÓ,9,0
27050,27,ATRATO,4,0
27073,27,BAGADÓ,4,0
27075,27,BAHÍA SOLANO,8,0
27077,27,BAJO BAUDÓ,5,0
27099,27,BOJAYÁ,4,0
27135,27,EL CANTÓN DEL SAN PABLO,5,0
27150,27,CARMEN DEL DARIÉN,4,0
