cod_dpto,nom_dpto,cod_mpio,nom_mpio,a_o,tipoatencion,atenciones
05,Antioquia,05045,ApartadÃ³,2018,URGENCIAS,17177
05,Antioquia,05045,ApartadÃ³,2019,CONSULTAS,709563
05,Antioquia,05045,ApartadÃ³,2019,HOSPITALIZACIONES,9296
05,Antioquia,05045,ApartadÃ³,2019,PROCEDIMIENTOS DE SALUD,474914
05,Antioquia,05045,ApartadÃ³,2019,URGENCIAS,35382
05,Antioquia,05045,ApartadÃ³,2020,CONSULTAS,620718
05,Antioquia,05045,ApartadÃ³,2020,HOSPITALIZACIONES,5018
05,Antioquia,05045,ApartadÃ³,2020,PROCEDIMIENTOS DE SALUD,504423
05,Antioquia,05045,ApartadÃ³,2020,URGENCIAS,9190
05,Antioquia,05045,ApartadÃ³,2021,CONSULTAS,521097
05,Antioquia,05045,ApartadÃ³,2021,HOSPITALIZACIONES,4253
05,Antioquia,05045,ApartadÃ³,2021,PROCEDIMIENTOS DE SALUD,165280
05,Antioquia,05045,ApartadÃ³,2021,URGENCIAS,13957
05,Antioquia,05051,Arboletes,2017,CONSULTAS,27753
05,Antioquia,05051,Arboletes,2017,HOSPITALIZACIONES,241
05,Antioquia,05051,Arboletes,2017,PROCEDIMIENTOS DE SALUD,25292
05,Antioquia,05051,Arboletes,2017,URGENCIAS,120
05,Antioquia,05051,Arboletes,2018,CONSULTAS,28778
05,Antioquia,05051,Arboletes,2018,HOSPITALIZACIONES,267
05,Antioquia,05051,Arboletes,2018,PROCEDIMIENTOS DE SALUD,57968
05,Antioquia,05051,Arboletes,2018,URGENCIAS,233
05,Antioquia,05051,Arboletes,2019,CONSULTAS,24463
05,Antioquia,05051,Arboletes,2019,HOSPITALIZACIONES,352
05,Antioquia,05051,Arboletes,2019,PROCEDIMIENTOS DE SALUD,50605
05,Antioquia,05051,Arboletes,2019,URGENCIAS,286
05,Antioquia,05051,Arboletes,2020,CONSULTAS,10101
05,Antioquia,05051,Arboletes,2020,HOSPITALIZACIONES,367
05,Antioquia,05051,Arboletes,2020,PROCEDIMIENTOS DE SALUD,28604
05,Antioquia,05051,Arboletes,2020,URGENCIAS,130
05,Antioquia,05051,Arboletes,2021,CONSULTAS,9706
05,Antioquia,05051,Arboletes,2021,HOSPITALIZACIONES,354
05,Antioquia,05051,Arboletes,2021,PROCEDIMIENTOS DE SALUD,15404
05,Antioquia,05051,Arboletes,2021,URGENCIAS,101
05,Antioquia,05055,Argelia,2017,CONSULTAS,5286
05,Antioquia,05055,Argelia,2017,HOSPITALIZACIONES,36
05,Antioquia,05055,Argelia,2017,PROCEDIMIENTOS DE SALUD,450
05,Antioquia,05055,Argelia,2017,URGENCIAS,72
05,Antioquia,05055,Argelia,2018,CONSULTAS,9717
05,Antioquia,05055,Argelia,2018,HOSPITALIZACIONES,104
05,Antioquia,05055,Argelia,2018,PROCEDIMIENTOS DE SALUD,25887
05,Antioquia,05055,Argelia,2018,URGENCIAS,133
05,Antioquia,05055,Argelia,2019,CONSULTAS,8406
05,Antioquia,05055,Argelia,2019,HOSPITALIZACIONES,91
05,Antioquia,05055,Argelia,2019,PROCEDIMIENTOS DE SALUD,12235
05,Antioquia,05055,Argelia,2019,URGENCIAS,161
05,Antioquia,05055,Argelia,2020,CONSULTAS,2310
05,Antioquia,05055,Argelia,2020,HOSPITALIZACIONES,45
05,Antioquia,05055,Argelia,2020,PROCEDIMIENTOS DE SALUD,6717
05,Antioquia,05055,Argelia,2020,URGENCIAS,89
05,Antioquia,05055,Argelia,2021,CONSULTAS,879
05,Antioquia,05055,Argelia,2021,HOSPITALIZACIONES,60
05,Antioquia,05055,Argelia,2021,PROCEDIMIENTOS DE SALUD,3918
05,Antioquia,05055,Argelia,2021,URGENCIAS,32
