cod_dpto,dpto,cod_mpio,nom_mpio,tipo_municipio,longitud,latitud,llave_norm
05,ANTIOQUIA,05690,SANTO DOMINGO,Municipio,,,ANTIOQUIA|SANTO DOMINGO
05,ANTIOQUIA,05697,EL SANTUARIO,Municipio,,,ANTIOQUIA|EL SANTUARIO
05,ANTIOQUIA,05736,SEGOVIA,Municipio,,,ANTIOQUIA|SEGOVIA
05,ANTIOQUIA,05756,SONSÓN,Municipio,,,ANTIOQUIA|SONSON
05,ANTIOQUIA,05761,SOPETRÁN,Municipio,,,ANTIOQUIA|SOPETRAN
05,ANTIOQUIA,05789,TÁMESIS,Municipio,,,ANTIOQUIA|TAMESIS
05,ANTIOQUIA,05790,TARAZÁ,Municipio,,,ANTIOQUIA|TARAZA
05,ANTIOQUIA,05792,TARSO,Municipio,,,ANTIOQUIA|TARSO
05,ANTIOQUIA,05809,TITIRIBÍ,Municipio,,,ANTIOQUIA|TITIRIBI
05,ANTIOQUIA,05819,TOLEDO,Municipio,,,ANTIOQUIA|TOLEDO
05,ANTIOQUIA,05837,TURBO,Municipio,,,ANTIOQUIA|TURBO
05,ANTIOQUIA,05842,URAMITA,Municipio,,,ANTIOQUIA|URAMITA
05,ANTIOQUIA,05847,URRAO,Municipio,,,ANTIOQUIA|URRAO
05,ANTIOQUIA,05854,VALDIVIA,Municipio,,,ANTIOQUIA|VALDIVIA
05,ANTIOQUIA,05856,VALPARAÍSO,Municipio,,,ANTIOQUIA|VALPARAISO
05,ANTIOQUIA,05858,VEGACHÍ,Municipio,,,ANTIOQUIA|VEGACHI
05,ANTIOQUIA,05861,VENECIA,Municipio,,,ANTIOQUIA|VENECIA
05,ANTIOQUIA,05873,VIGÍA DEL FUERTE,Municipio,,,ANTIOQUIA|VIGIA DEL FUERTE
05,ANTIOQUIA,05885,YALÍ,Municipio,,,ANTIOQUIA|YALI
05,ANTIOQUIA,05887,YARUMAL,Municipio,,,ANTIOQUIA|YARUMAL
05,ANTIOQUIA,05890,YOLOMBÓ,Municipio,,,ANTIOQUIA|YOLOMBO
05,ANTIOQUIA,05893,YONDÓ,Municipio,,,ANTIOQUIA|YONDO
05,ANTIOQUIA,05895,ZARAGOZA,Municipio,,,ANTIOQUIA|ZARAGOZA
08,ATLÁNTICO,08001,BARRANQUILLA,Municipio,,,ATLANTICO|BARRANQUILLA
08,ATLÁNTICO,08078,BARANOA,Municipio,,,ATLANTICO|BARANOA
08,ATLÁNTICO,08137,CAMPO DE LA CRUZ,Municipio,,,ATLANTICO|CAMPO DE LA CRUZ
08,ATLÁNTICO,08141,CANDELARIA,Municipio,,,ATLANTICO|CANDELARIA
08,ATLÁNTICO,08296,GALAPA,Municipio,,,ATLANTICO|GALAPA
08,ATLÁNTICO,08372,JUAN DE ACOSTA,Municipio,,,ATLANTICO|JUAN DE ACOSTA
08,ATLÁNTICO,08421,LURUACO,Municipio,,,ATLANTICO|LURUACO
08,ATLÁNTICO,08433,MALAMBO,Municipio,,,ATLANTICO|MALAMBO
08,ATLÁNTICO,08436,MANATÍ,Municipio,,,ATLANTICO|MANATI
08,ATLÁNTICO,08520,PALMAR DE VARELA,Municipio,,,ATLANTICO|PALMAR DE VARELA
08,ATLÁNTICO,08549,PIOJÓ,Municipio,,,ATLANTICO|PIOJO
08,ATLÁNTICO,08558,POLONUEVO,Municipio,,,ATLANTICO|POLONUEVO
08,ATLÁNTICO,08560,PONEDERA,Municipio,,,ATLANTICO|PONEDERA
