cod_mpio,cod_dpto,nom_mpio,n_resguardos,pob_resguardos,n_comunidades
20175,20,CHIMICHAGUA,0,0,0
20178,20,CHIRIGUANÁ,0,0,0
20228,20,CURUMANÍ,0,0,0
20238,20,EL COPEY,0,0,1
20250,20,EL PASO,0,0,0
20295,20,GAMARRA,0,0,0
20310,20,GONZÁLEZ,0,0,0
20383,20,LA GLORIA,0,0,0
20400,20,LA JAGUA DE IBIRICO,0,0,0
20443,20,MANAURE BALCÓN DEL CESAR,0,0,0
20517,20,PAILITAS,0,0,0
20550,20,PELAYA,0,0,0
20570,20,PUEBLO BELLO,2,8483,0
20614,20,RÍO DE ORO,0,0,0
20621,20,LA PAZ,3,525,0
20710,20,SAN ALBERTO,0,0,0
20750,20,SAN DIEGO,0,0,0
20770,20,SAN MARTÍN,0,0,0
20787,20,TAMALAMEQUE,0,0,0
23001,23,MONTERÍA,0,0,0
23068,23,AYAPEL,0,0,0
23079,23,BUENAVISTA,0,0,0
23090,23,CANALETE,0,0,2
23162,23,CERETÉ,0,0,2
23168,23,CHIMÁ,1,1021,0
23182,23,CHINÚ,0,0,22
23189,23,CIÉNAGA DE ORO,0,0,4
23300,23,COTORRA,0,0,0
23350,23,LA APARTADA,0,0,1
23417,23,LORICA,0,0,8
23419,23,LOS CÓRDOBAS,0,0,0
23464,23,MOMIL,0,0,8
23466,23,MONTELÍBANO,1,219,4
23500,23,MOÑITOS,0,0,0
23555,23,PLANETA RICA,0,0,9
23570,23,PUEBLO NUEVO,0,0,4
23574,23,PUERTO ESCONDIDO,0,0,2
23580,23,PUERTO LIBERTADOR,2,212,14
23586,23,PURÍSIMA DE LA CONCEPCIÓN,1,323,6
23660,23,SAHAGÚN,0,0,7
23670,23,SAN ANDRÉS DE SOTAVENTO,1,10327,59
23672,23,SAN ANTERO,0,0,4
23675,23,SAN BERNARDO DEL VIENTO,0,0,0
23678,23,SAN CARLOS,0,0,0
23682,23,SAN JOSÉ DE URÉ,0,0,7
23686,23,SAN PELAYO,0,0,0
23807,23,TIERRALTA,1,5223,0
23815,23,TUCHÍN,1,23144,50
23855,23,VALENCIA,0,0,1
25001,25,AGUA DE DIOS,0,0,0
25019,25,ALBÁN,0,0,0
25035,25,ANAPOIMA,0,0,0
25040,25,ANOLAIMA,0,0,0
25053,25,ARBELÁEZ,0,0,0
25086,25,BELTRÁN,0,0,0
25095,25,BITUIMA,0,0,0
25099,25,BOJACÁ,0,0,0
25120,25,CABRERA,0,0,0
25123,25,CACHIPAY,0,0,0
25126,25,CAJICÁ,0,0,0
25148,25,CAPARRAPÍ,0,0,0
25151,25,CÁQUEZA,0,0,0
25154,25,CARMEN DE CARUPA,0,0,0
25168,25,CHAGUANÍ,0,0,0
25175,25,CHÍA,1,1647,1
25178,25,CHIPAQUE,0,0,0
25181,25,CHOACHÍ,0,0,0
25183,25,CHOCONTÁ,0,0,0
25200,25,COGUA,0,0,0
25214,25,COTA,1,1148,1
25224,25,CUCUNUBÁ,0,0,0
25245,25,EL COLEGIO,0,0,0
25258,25,EL PEÑÓN,0,0,0
25260,25,EL ROSAL,0,0,0
25269,25,FACATATIVÁ,0,0,0
25279,25,FÓMEQUE,0,0,0
25281,25,FOSCA,0,0,0
25286,25,FUNZA,0,0,0
25288,25,FÚQUENE,0,0,0
25290,25,FUSAGASUGÁ,0,0,0
25293,25,GACHALÁ,0,0,0
25295,25,GACHANCIPÁ,0,0,0
25297,25,GACHETÁ,0,0,0
25299,25,GAMA,0,0,0
25307,25,GIRARDOT,0,0,0
25312,25,GRANADA,0,0,0
25317,25,GUACHETÁ,0,0,0
25320,25,GUADUAS,0,0,0
25322,25,GUASCA,0,0,0
25324,25,GUATAQUÍ,0,0,0
25326,25,GUATAVITA,0,0,0
25328,25,GUAYABAL DE SÍQUIMA,0,0,0
25335,25,GUAYABETAL,0,0,0
25339,25,GUTIÉRREZ,0,0,0
25368,25,JERUSALÉN,0,0,0
25372,25,JUNÍN,0,0,0
25377,25,LA CALERA,0,0,0
25386,25,LA MESA,0,0,0
25394,25,LA PALMA,0,0,0
25398,25,LA PEÑA,0,0,0
25402,25,LA VEGA,0,0,0
25407,25,LENGUAZAQUE,0,0,0
25426,25,MACHETÁ,0,0,0
25430,25,MADRID,0,0,0
25436,25,MANTA,0,0,0
25438,25,MEDINA,0,0,1
25473,25,MOSQUERA,0,0,0
25483,25,NARIÑO,0,0,0
25486,25,NEMOCÓN,0,0,0
25488,25,NILO,0,0,0
25489,25,NIMAIMA,0,0,0
25491,25,NOCAIMA,0,0,0
25506,25,VENECIA,0,0,0
25513,25,PACHO,0,0,0
25518,25,PAIME,0,0,0
25524,25,PANDI,0,0,0
25530,25,PARATEBUENO,0,0,0
25535,25,PASCA,0,0,0
25572,25,PUERTO SALGAR,0,0,0
25580,25,PULÍ,0,0,0
25592,25,QUEBRADANEGRA,0,0,0
25594,25,QUETAME,0,0,0
25596,25,QUIPILE,0,0,0
25599,25,APULO,0,0,0
25612,25,RICAURTE,0,0,0
25645,25,SAN ANTONIO DEL TEQUENDAMA,0,0,0
25649,25,SAN BERNARDO,0,0,0
25653,25,SAN CAYETANO,0,0,0
25658,25,SAN FRANCISCO,0,0,0
25662,25,SAN JUAN DE RIOSECO,0,0,0
25718,25,SASAIMA,0,0,0
25736,25,SESQUILÉ,0,0,2
25740,25,SIBATÉ,0,0,0
25743,25,SILVANIA,0,0,0
25745,25,SIMIJACA,0,0,0
25754,25,SOACHA,0,0,0
25758,25,SOPÓ,0,0,0
25769,25,SUBACHOQUE,0,0,0
25772,25,SUESCA,0,0,0
25777,25,SUPATÁ,0,0,0
25779,25,SUSA,0,0,0
25781,25,SUTATAUSA,0,0,0
25785,25,TABIO,0,0,0
25793,25,TAUSA,0,0,0
25797,25,TENA,0,0,0
25799,25,TENJO,0,0,0
25805,25,TIBACUY,0,0,0
25807,25,TIBIRITA,0,0,0
25815,25,TOCAIMA,0,0,0
25817,25,TOCANCIPÁ,0,0,0
25823,25,TOPAIPÍ,0,0,0
25839,25,UBALÁ,0,0,0
25841,25,UBAQUE,0,0,0
25843,25,VILLA DE SAN DIEGO DE UBATÉ,0,0,0
25845,25,UNE,0,0,0
25851,25,ÚTICA,0,0,0
25862,25,VERGARA,0,0,0
25867,25,VIANÍ,0,0,0
25871,25,VILLAGÓMEZ,0,0,0
25873,25,VILLAPINZÓN,0,0,0
25875,25,VILLETA,0,0,0
25878,25,VIOTÁ,0,0,0
25885,25,YACOPÍ,0,0,0
25898,25,ZIPACÓN,0,0,0
25899,25,ZIPAQUIRÁ,0,0,0
27001,27,QUIBDÓ,15,1963,3
27006,27,ACANDÍ,2,371,0
27025,27,ALTO BAUDÓ,7,10618,1
27050,27,ATRATO,0,0,0
27073,27,BAGADÓ,1,6181,0
27075,27,BAHÍA SOLANO,2,608,0
27077,27,BAJO BAUDÓ,13,9666,0
27099,27,BOJAYÁ,10,3595,0
27135,27,EL CANTÓN DEL SAN PABLO,0,0,0
27150,27,CARMEN DEL DARIÉN,4,2336,0
27160,27,CÉRTEGUI,1,148,0
27205,27,CONDOTO,1,88,0
27245,27,EL CARMEN DE ATRATO,7,860,2
27250,27,EL LITORAL DEL SAN JUAN,12,6505,2
27361,27,ISTMINA,2,924,0
27372,27,JURADÓ,4,2224,1
27413,27,LLORÓ,7,1917,1
27425,27,MEDIO ATRATO,5,632,0
27430,27,MEDIO BAUDÓ,9,2061,0
27450,27,MEDIO SAN JUAN,1,1196,0
27491,27,NÓVITA,1,123,0
27493,27,NUEVO BELÉN DE BAJIRÁ,0,0,0
27495,27,NUQUÍ,3,4446,0
27580,27,RÍO IRÓ,1,381,0
27600,27,RÍO QUITO,4,663,0
27615,27,RIOSUCIO,9,3179,2
27660,27,SAN JOSÉ DEL PALMAR,2,386,0
27745,27,SIPÍ,2,401,0
27787,27,TADÓ,5,785,1
27800,27,UNGUÍA,4,848,1
27810,27,UNIÓN PANAMERICANA,0,0,0
41001,41,NEIVA,1,342,2
41006,41,ACEVEDO,0,0,0
41013,41,AGRADO,0,0,0
41016,41,AIPE,0,0,0
41020,41,ALGECIRAS,0,0,0
41026,41,ALTAMIRA,0,0,0
41078,41,BARAYA,0,0,0
41132,41,CAMPOALEGRE,0,0,0
41206,41,COLOMBIA,0,0,0
41244,41,ELÍAS,0,0,0
41298,41,GARZÓN,0,0,0
41306,41,GIGANTE,0,0,0
41319,41,GUADALUPE,0,0,0
41349,41,HOBO,0,0,0
41357,41,ÍQUIRA,1,1546,0
41359,41,ISNOS,1,511,1
41378,41,LA ARGENTINA,3,778,0
41396,41,LA PLATA,6,2385,4
41483,41,NÁTAGA,1,489,0
41503,41,OPORAPA,1,326,0
41518,41,PAICOL,0,0,0
41524,41,PALERMO,1,64,0
41530,41,PALESTINA,0,0,1
41548,41,PITAL,0,0,0
41551,41,PITALITO,2,606,3
41615,41,RIVERA,1,158,0
41660,41,SALADOBLANCO,0,0,0
41668,41,SAN AGUSTÍN,2,250,1
41676,41,SANTA MARÍA,0,0,1
41770,41,SUAZA,0,0,0
41791,41,TARQUI,0,0,0
41797,41,TESALIA,0,0,0
41799,41,TELLO,0,0,0
41801,41,TERUEL,0,0,0
41807,41,TIMANÁ,0,0,1
41872,41,VILLAVIEJA,1,153,0
41885,41,YAGUARÁ,0,0,0
44001,44,RIOHACHA,8,25576,94
44035,44,ALBANIA,3,7329,9
44078,44,BARRANCAS,6,6862,31
44090,44,DIBULLA,1,9851,0
44098,44,DISTRACCIÓN,2,2043,0
44110,44,EL MOLINO,0,0,0
44279,44,FONSECA,1,102,1
44378,44,HATONUEVO,3,5652,2
44420,44,LA JAGUA DEL PILAR,0,0,0
44430,44,MAICAO,4,41046,101
44560,44,MANAURE,1,64268,188
44650,44,SAN JUAN DEL CESAR,1,3467,0
44847,44,URIBIA,1,156122,1
44855,44,URUMITA,0,0,0
44874,44,VILLANUEVA,0,0,0
47001,47,SANTA MARTA,1,3944,0
47030,47,ALGARROBO,0,0,0
47053,47,ARACATACA,2,3579,0
47058,47,ARIGUANÍ,0,0,0
47161,47,CERRO DE SAN ANTONIO,0,0,0
47170,47,CHIVOLO,0,0,0
47189,47,CIÉNAGA,2,2031,0
47205,47,CONCORDIA,0,0,0
47245,47,EL BANCO,0,0,0
47258,47,EL PIÑÓN,0,0,0
47268,47,EL RETÉN,0,0,0
47288,47,FUNDACIÓN,1,4821,0
47318,47,GUAMAL,0,0,0
47460,47,NUEVA GRANADA,0,0,0
47541,47,PEDRAZA,0,0,0
47545,47,PIJIÑO DEL CARMEN,0,0,0
47551,47,PIVIJAY,0,0,0
47555,47,PLATO,0,0,0
47570,47,PUEBLOVIEJO,0,0,0
47605,47,REMOLINO,0,0,0
47660,47,SABANAS DE SAN ÁNGEL,1,987,0
47675,47,SALAMINA,0,0,0
47692,47,SAN SEBASTIÁN DE BUENAVISTA,0,0,0
47703,47,SAN ZENÓN,0,0,0
47707,47,SANTA ANA,0,0,0
47720,47,SANTA BÁRBARA DE PINTO,0,0,0
47745,47,SITIONUEVO,0,0,0
47798,47,TENERIFE,0,0,0
47960,47,ZAPAYÁN,0,0,0
47980,47,ZONA BANANERA,0,0,0
50001,50,VILLAVICENCIO,1,197,1
50006,50,ACACÍAS,0,0,0
