cod_mpio,cod_dpto,nom_mpio,poblacion,afiliados_total,af_subsidiado,af_contributivo,pct_rural_afiliados,fuente
05819,05,TOLEDO,4458,4458,3710.0,748.0,66.465,bdua
05837,05,TURBO,141387,141387,100499.0,40888.0,27.454,bdua
05842,05,URAMITA,6011,6011,5369.0,642.0,75.096,bdua
05847,05,URRAO,30621,30621,25680.0,4941.0,54.809,bdua
05854,05,VALDIVIA,13769,13769,12818.0,951.0,70.521,bdua
05856,05,VALPARAÍSO,4175,4175,2890.0,1285.0,41.629,bdua
05858,05,VEGACHÍ,14032,14032,11777.0,2255.0,38.284,bdua
05861,05,VENECIA,8598,8598,5477.0,3121.0,40.684,bdua
05873,05,VIGÍA DEL FUERTE,7485,7485,7113.0,372.0,37.849,bdua
05885,05,YALÍ,6555,6555,5558.0,997.0,51.533,bdua
05887,05,YARUMAL,42267,42267,26109.0,16158.0,28.292,bdua
05890,05,YOLOMBÓ,19676,19676,15661.0,4015.0,56.007,bdua
05893,05,YONDÓ,9607,9607,8560.0,1047.0,45.196,bdua
05895,05,ZARAGOZA,26692,26692,24912.0,1780.0,52.96,bdua
08001,08,BARRANQUILLA,1557160,1557160,779896.0,777264.0,4.509,bdua
08078,08,BARANOA,59880,59880,44352.0,15528.0,15.418,bdua
08137,08,CAMPO DE LA CRUZ,26320,26320,24033.0,2287.0,17.47,bdua
08141,08,CANDELARIA,16511,16511,14898.0,1613.0,28.623,bdua
08296,08,GALAPA,46830,46830,33844.0,12986.0,13.788,bdua
08372,08,JUAN DE ACOSTA,18069,18069,15855.0,2214.0,28.026,bdua
08421,08,LURUACO,24132,24132,22022.0,2110.0,32.737,bdua
08433,08,MALAMBO,110597,110597,87439.0,23158.0,10.431,bdua
08436,08,MANATÍ,19289,19289,18269.0,1020.0,21.359,bdua
08520,08,PALMAR DE VARELA,19914,19914,16766.0,3148.0,7.281,bdua
08549,08,PIOJÓ,4253,4253,3814.0,439.0,22.619,bdua
08558,08,POLONUEVO,0,0,,,,bdua
08560,08,PONEDERA,21402,21402,19312.0,2090.0,29.31,bdua
08573,08,PUERTO COLOMBIA,32075,32075,19796.0,12279.0,4.879,bdua
08606,08,REPELÓN,25149,25149,22425.0,2724.0,24.796,bdua
08634,08,SABANAGRANDE,26464,26464,20670.0,5794.0,15.489,bdua
08638,08,SABANALARGA,103709,103709,73210.0,30499.0,14.264,bdua
08675,08,SANTA LUCÍA,12863,12863,12031.0,832.0,17.127,bdua
08685,08,SANTO TOMÁS,28488,28488,19722.0,8766.0,12.556,bdua
08758,08,SOLEDAD,608508,608508,331147.0,277361.0,3.949,bdua
08770,08,SUAN,10717,10717,9614.0,1103.0,10.217,bdua
08832,08,TUBARÁ,9582,9582,7500.0,2082.0,21.248,bdua
08849,08,USIACURÍ,7765,7765,6556.0,1209.0,8.873,bdua
11001,11,"BOGOTÁ, D.C.",7743118,7743118,1841042.0,5902076.0,1.683,bdua
13001,13,CARTAGENA DE INDIAS,0,0,,,,bdua
13006,13,ACHÍ,21986,21986,20872.0,1114.0,69.89,bdua
13030,13,ALTOS DEL ROSARIO,10400,10400,9675.0,725.0,63.519,bdua
13042,13,ARENAL,8402,8402,7828.0,574.0,16.651,bdua
13052,13,ARJONA,67453,67453,55169.0,12284.0,18.17,bdua
13062,13,ARROYOHONDO,9107,9107,8328.0,779.0,43.494,bdua
13074,13,BARRANCO DE LOBA,16820,16820,15631.0,1189.0,61.914,bdua
13140,13,CALAMAR,24422,24422,21789.0,2633.0,43.747,bdua
13160,13,CANTAGALLO,7631,7631,6261.0,1370.0,56.428,bdua
13188,13,CICUCO,13708,13708,12266.0,1442.0,53.407,bdua
13212,13,CÓRDOBA,16277,16277,14844.0,1433.0,57.234,bdua
13222,13,CLEMENCIA,12321,12321,11375.0,946.0,15.591,bdua
13244,13,EL CARMEN DE BOLÍVAR,79841,79841,69854.0,9987.0,28.247,bdua
13248,13,EL GUAMO,8070,8070,7035.0,1035.0,42.701,bdua
13268,13,EL PEÑÓN,6816,6816,6076.0,740.0,59.624,bdua
13300,13,HATILLO DE LOBA,13258,13258,12176.0,1082.0,61.163,bdua
13430,13,MAGANGUÉ,132477,132477,114157.0,18320.0,28.979,bdua
13433,13,MAHATES,25961,25961,23124.0,2837.0,46.192,bdua
13440,13,MARGARITA,8690,8690,8269.0,421.0,63.015,bdua
13442,13,MARÍA LA BAJA,51455,51455,44810.0,6645.0,42.771,bdua
13458,13,MONTECRISTO,11535,11535,10950.0,585.0,57.087,bdua
