cod_mpio,cod_dpto,nom_mpio,a_o,poblacion,pct_rural_disperso,fuente
05138,05,CAÑASGORDAS,2021,15717.0,65.986,dane
05142,05,CARACOLÍ,2017,4581.0,40.166,dane
05142,05,CARACOLÍ,2018,4581.0,40.166,dane
05142,05,CARACOLÍ,2019,4569.0,39.921,dane
05142,05,CARACOLÍ,2020,4583.0,39.363,dane
05142,05,CARACOLÍ,2021,4591.0,39.272,dane
05145,05,CARAMANTA,2017,4758.0,53.783,dane
05145,05,CARAMANTA,2018,4758.0,53.783,dane
05145,05,CARAMANTA,2019,4735.0,53.601,dane
05145,05,CARAMANTA,2020,4708.0,53.356,dane
05145,05,CARAMANTA,2021,4684.0,53.01,dane
05147,05,CAREPA,2017,47923.0,31.123,dane
05147,05,CAREPA,2018,47923.0,31.123,dane
05147,05,CAREPA,2019,48374.0,30.167,dane
05147,05,CAREPA,2020,48862.0,29.192,dane
05147,05,CAREPA,2021,49435.0,28.856,dane
05148,05,EL CARMEN DE VIBORAL,2017,59410.0,42.464,dane
05148,05,EL CARMEN DE VIBORAL,2018,59410.0,42.464,dane
05148,05,EL CARMEN DE VIBORAL,2019,61076.0,42.085,dane
05148,05,EL CARMEN DE VIBORAL,2020,62774.0,41.729,dane
05148,05,EL CARMEN DE VIBORAL,2021,64353.0,41.408,dane
05150,05,CAROLINA,2017,3957.0,25.903,dane
05150,05,CAROLINA,2018,3957.0,25.903,dane
05150,05,CAROLINA,2019,3956.0,25.581,dane
05150,05,CAROLINA,2020,3974.0,25.239,dane
05150,05,CAROLINA,2021,3980.0,25.025,dane
05154,05,CAUCASIA,2017,90211.0,14.902,dane
05154,05,CAUCASIA,2018,90211.0,14.902,dane
05154,05,CAUCASIA,2019,91003.0,13.461,dane
05154,05,CAUCASIA,2020,91873.0,12.049,dane
05154,05,CAUCASIA,2021,92469.0,11.783,dane
05172,05,CHIGORODÓ,2017,57380.0,18.012,dane
05172,05,CHIGORODÓ,2018,57380.0,18.012,dane
05172,05,CHIGORODÓ,2019,57144.0,17.407,dane
